route,file,methods,stateChanging,csrfTokenValidated,authCheckDetected,serviceRoleKey,corsHeaders,fetchUsed,returnsSessionObject,flags
/api/admin/analytics,app/api/admin/analytics/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/beta-requests,app/api/admin/beta-requests/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/beta/feedback,app/api/admin/beta/feedback/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/beta/requests,app/api/admin/beta/requests/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/beta/stats,app/api/admin/beta/stats/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/beta/users,app/api/admin/beta/users/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/dashboard/stats,app/api/admin/dashboard/stats/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/feature-usage,app/api/admin/feature-usage/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/admin/feedback/[id],app/api/admin/feedback/[id]/route.ts,DELETE|PATCH,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/admin/feedback,app/api/admin/feedback/route.ts,GET,false,false,true,false,false,false,false,
/api/admin/feedback/status,app/api/admin/feedback/status/route.ts,PATCH|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/admin/health,app/api/admin/health/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/logs,app/api/admin/logs/route.ts,GET|POST,true,false,true,true,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|USES_SERVICE_ROLE_KEY
/api/admin/notifications/bulk-unsubscribe,app/api/admin/notifications/bulk-unsubscribe/route.ts,POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/admin/notifications/export,app/api/admin/notifications/export/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/admin/notifications,app/api/admin/notifications/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/notifications/stats,app/api/admin/notifications/stats/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/subscription-analytics,app/api/admin/subscription-analytics/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/users/[userId]/[action],app/api/admin/users/[userId]/[action]/route.ts,POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/admin/users/online,app/api/admin/users/online/route.ts,GET,false,false,false,false,false,false,false,
/api/admin/users,app/api/admin/users/route.ts,GET,false,false,false,false,false,false,false,
/api/analytics/track,app/api/analytics/track/route.ts,POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/auth/beta-signup,app/api/auth/beta-signup/route.ts,POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/auth/cleanup-orphaned-user,app/api/auth/cleanup-orphaned-user/route.ts,POST,true,false,true,true,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|USES_SERVICE_ROLE_KEY
/api/auth/magic-link,app/api/auth/magic-link/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/auth/magic-link/verify,app/api/auth/magic-link/verify/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/auth/mfa/enroll,app/api/auth/mfa/enroll/route.ts,GET|POST,true,true,true,false,false,false,false,
/api/auth/mfa/unenroll,app/api/auth/mfa/unenroll/route.ts,DELETE|POST,true,true,true,false,false,false,false,
/api/auth/mfa/verify,app/api/auth/mfa/verify/route.ts,POST,true,true,true,false,false,false,false,
/api/auth/password-reset,app/api/auth/password-reset/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/auth/password-reset/verify,app/api/auth/password-reset/verify/route.ts,GET|POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/auth/signin,app/api/auth/signin/route.ts,POST,true,false,false,false,false,false,true,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED|RETURNS_SESSION_OBJECT
/api/auth/signout,app/api/auth/signout/route.ts,POST,true,false,false,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED
/api/auth/signup,app/api/auth/signup/route.ts,POST,true,false,false,false,false,false,true,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION|STATE_CHANGE_NO_AUTH_CHECK_DETECTED|RETURNS_SESSION_OBJECT
/api/beta/feedback,app/api/beta/feedback/route.ts,GET|POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/beta/feedback/vote,app/api/beta/feedback/vote/route.ts,POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/beta/validate,app/api/beta/validate/route.ts,POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/budgets,app/api/budgets/route.ts,GET|POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/bulk/archive-old-data,app/api/bulk/archive-old-data/route.ts,POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/bulk/delete-expenses,app/api/bulk/delete-expenses/route.ts,GET|POST,true,true,true,false,false,false,false,
/api/bulk/export-by-date,app/api/bulk/export-by-date/route.ts,GET,false,false,true,false,false,false,false,
/api/calendar/[id],app/api/calendar/[id]/route.ts,DELETE|GET|PATCH,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
/api/calendar/callback/google,app/api/calendar/callback/google/route.ts,GET,false,false,true,false,false,false,false,
/api/calendar/callback/outlook,app/api/calendar/callback/outlook/route.ts,GET,false,false,true,false,false,false,false,
/api/calendar/connect/apple,app/api/calendar/connect/apple/route.ts,GET|POST,true,false,true,false,false,false,false,STATE_CHANGE_NO_CSRF_TOKEN_VALIDATION
